Comment,Designator,Footprint,LCSC
120K,R1208,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C100737
15K,"R1402,R1407,R1502,R1507",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C100780
75K,"R2202,R909,R927",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C101185
100,R2211,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C103197
4.7K,"R208,R223",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C103656
20p,"C1202,C1203,C1204,C2507,C2508",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C105621
33n,"C2503,C2504,C2505,C2506",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C106856
560p,"C1403,C1409,C1503,C1509",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C107054
47K,"R1603,R1604,R1903,R1904",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C111134
27K,"R1215,R1223,R1707,R1708,R1807,R1808,R2007,R2008,R2107,R2108",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C116691
1N4001,"D1307,D1308,D2405,D2406,D2407,D2408,D2801",D_SMA_Handsoldering,C122841
1K,"RV202,RV203,RV902,RV904",Potentiometer_Bourns_3314J_Vertical,C124615
PT2399,"U1401,U1501",SOP-16_3.9x9.9mm_P1.27mm,C126407
33K,"R602,R603,R604,R605,R607,R608,R609,R610,R611,R613,R623,R625,R626,R630",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C138282
33u,C2703,CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder,C140402
3.3K,"R2905,R2906,R2913,R2914,R621,R632",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C144661
100K,"R1204,R1205,R1206,R1207,R1209,R1313,R1314,R1607,R1907,R203,R204,R216,R217,R2205,R2301,R2302,R2303,R2304,R2305,R2306,R2307,R2308,R2309,R2310,R2311,R2312,R2316,R2317,R2322,R2323,R2403,R2404,R2405,R2406,R2407,R2408,R2409,R2410,R2603,R2606,R2607,R2701,R301,R302,R303,R304,R305,R306,R307,R308,R309,R310,R314,R316,R401,R402,R403,R404,R405,R406,R407,R408,R409,R410,R414,R416,R501,R502,R503,R504,R505,R506,R507,R508,R509,R510,R514,R516,R701,R702,R809,R810,R811,R812,R813,R814,R815,R816,R901,R902,R903,R910,R911,R915,R919,R920,R921,R922,R923,R924",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C14675
FerriteBead,FB2801,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C155088
100p,"C201,C205,C901,C903",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C160903
2.2p,"C1603,C1903",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1651
LM13700,"U201,U903",SOIC-16_3.9x9.9mm_P1.27mm,C174050
470,"R313,R315,R413,R415,R513,R515",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C176130
8.2K,"R202,R211,R907,R918",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C188034
3.3n,"C1407,C1507",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C190576
4013,U2402,SOIC-14_3.9x8.7mm_P1.27mm,C194333
200K,"R1202,R1303,R1304,R1307,R1308,R1409,R1509,R1610,R1612,R1705,R1706,R1805,R1806,R1910,R1912,R2005,R2006,R2105,R2106,R213,R214,R218,R224,R2503,R2504,R2515,R2516,R2602,R2612,R2904,R2907,R2908,R2912,R2915,R2916,R606,R628,R805,R806,R807,R808",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C203392
220,"R614,R619,R629,R631",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C203410
3904 BEC,"Q1301,Q1302,Q1303,Q1304,Q2902,Q2904",SOT-23_Handsoldering,C20526
D_TVS,"D1001,D1002,D1003,D1004,D1005,D1006,D1007,D1008,D1009,D1010,D1011,D1012,D1101,D1102,D1103,D1104,D1105,D1106,D1201,D1202,D1205,D1301,D1302,D1303,D1304,D1305,D1306,D1601,D1602,D1701,D1702,D1801,D1802,D1901,D1902,D2001,D2002,D2101,D2102,D2201,D2301,D2302,D2303,D2304,D2305,D2409,D2410,D2411,D2412,D2413,D2414,D2415,D2416,D2417,D2418,D2419,D2420,D2421,D2422,D2501,D2502,D2503,D2504,D2603,D2604,D2605,D2606,D2701,D2702,D2901,D2902,D2903,D2904,D2905,D2906,D2907,D2908,D2909,D2910,D2911,D2912,D301,D302,D303,D304,D401,D402,D403,D404,D501,D502,D503,D504,D603,D606,D701,D702,D801,D802,D803,D804",D_SOD-323_HandSoldering,C20936
1.5M,R1218,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C211695
1N4148,"D1203,D1204,D2601,D2602,D2703,D2704,D601,D602,D703,D704",D_SOD-323_HandSoldering,C2128
1u,"C1703,C1704,C1803,C1804,C2003,C2004,C2103,C2104",C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C215803
1M,"R1201,R1217,R1301,R1302,R1701,R1702,R1801,R1802,R2001,R2002,R2101,R2102,R212,R215,R2501,R2502,R2601,R2901,R2902,R2903,R2909,R2910,R2911,R601",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C234360
330n,"C1306,C2204,C2801",CP_Elec_4x5.4,C264238
100n,"C1308,C2206,C2803,C2804,C2811,C2812",CP_Elec_4x5.4,C271438
