Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,21.336,-182.626,90.0,top
C202,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,17.018,-178.054,90.0,top
C203,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,41.148,-204.724,90.0,top
C204,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,56.134,-179.07,90.0,top
C205,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,51.816,-191.516,-90.0,top
C206,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.276,-177.8,90.0,top
C207,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.134,-203.0465,-90.0,top
C208,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,58.928,-207.1635,-90.0,top
C209,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,47.752,-187.706,90.0,top
C301,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.4224,-77.846,-90.0,top
C302,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.1864,-87.1135,90.0,top
C303,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.0724,-77.846,-90.0,top
C304,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.3174,-77.846,90.0,top
C305,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.4714,-82.164,-90.0,top
C306,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.5364,-93.34,90.0,top
C401,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.446,-121.998,-90.0,top
C402,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.21,-131.2655,90.0,top
C403,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.096,-121.998,-90.0,top
C404,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.341,-121.998,90.0,top
C405,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.495,-126.316,-90.0,top
C406,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.56,-137.492,90.0,top
C501,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,116.446,-166.128,-90.0,top
C502,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,133.21,-175.3955,90.0,top
C503,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,110.096,-166.128,-90.0,top
C504,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,165.341,-166.128,90.0,top
C505,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,127.495,-170.446,-90.0,top
C506,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.56,-181.622,90.0,top
C601,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,33.782,-76.962,-90.0,top
C602,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,20.828,-75.692,90.0,top
C603,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,38.862,-104.902,-90.0,top
C604,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,44.831,-104.902,90.0,top
C605,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.276,-99.568,-90.0,top
C606,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,69.088,-63.5,-90.0,top
C607,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,55.118,-116.586,-90.0,top
C608,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.496,-101.092,-90.0,top
C610,1.2n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,31.75,-116.078,-90.0,top
C612,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.657,-83.566,90.0,top
C613,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.592,-98.552,90.0,top
C614,220p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,28.448,-116.078,90.0,top
C615,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,49.276,-108.966,90.0,top
C616,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,37.592,-119.888,90.0,top
C701,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,68.58,-75.184,-90.0,top
C702,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,40.132,-67.9185,90.0,top
C801,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,73.152,-92.71,90.0,top
C802,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,55.372,-92.456,90.0,top
C803,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,31.496,-92.583,-90.0,top
C804,470n,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,13.97,-92.456,-90.0,top
C805,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,16.837,-96.3175,90.0,top
C806,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,58.406,-96.364,90.0,top
C901,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,229.87,-126.238,90.0,top
C902,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,220.726,-103.632,90.0,top
C903,100p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,221.234,-126.0845,90.0,top
C904,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,218.186,-126.238,-90.0,top
C905,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,212.344,-136.906,-90.0,top
C906,10p,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,229.616,-93.726,-90.0,top
C907,100n,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,218.186,-135.382,-90.0,top
